,category,section,method,method_url,question
114,Series,Computations / descriptive stats,pandas.Series.value_counts,api/pandas.Series.value_counts.html#pandas.Series.value_counts,Return a Series containing counts of unique values.
115,Series,Reindexing / selection / label manipulation,pandas.Series.align,api/pandas.Series.align.html#pandas.Series.align,Align two objects on their axes with the specified join method.
116,Series,Reindexing / selection / label manipulation,pandas.Series.case_when,api/pandas.Series.case_when.html#pandas.Series.case_when,Replace values where the conditions are True.
117,Series,Reindexing / selection / label manipulation,pandas.Series.drop,api/pandas.Series.drop.html#pandas.Series.drop,Return Series with specified index labels removed.
118,Series,Reindexing / selection / label manipulation,pandas.Series.droplevel,api/pandas.Series.droplevel.html#pandas.Series.droplevel,Return Series/DataFrame with requested index / column level(s) removed.
119,Series,Reindexing / selection / label manipulation,pandas.Series.drop_duplicates,api/pandas.Series.drop_duplicates.html#pandas.Series.drop_duplicates,Return Series with duplicate values removed.
120,Series,Reindexing / selection / label manipulation,pandas.Series.duplicated,api/pandas.Series.duplicated.html#pandas.Series.duplicated,Indicate duplicate Series values.
121,Series,Reindexing / selection / label manipulation,pandas.Series.equals,api/pandas.Series.equals.html#pandas.Series.equals,Test whether two objects contain the same elements.
123,Series,Reindexing / selection / label manipulation,pandas.Series.head,api/pandas.Series.head.html#pandas.Series.head,Return the first n rows.
124,Series,Reindexing / selection / label manipulation,pandas.Series.idxmax,api/pandas.Series.idxmax.html#pandas.Series.idxmax,Return the row label of the maximum value.
125,Series,Reindexing / selection / label manipulation,pandas.Series.idxmin,api/pandas.Series.idxmin.html#pandas.Series.idxmin,Return the row label of the minimum value.
126,Series,Reindexing / selection / label manipulation,pandas.Series.isin,api/pandas.Series.isin.html#pandas.Series.isin,Whether elements in Series are contained in values.
128,Series,Reindexing / selection / label manipulation,pandas.Series.reindex,api/pandas.Series.reindex.html#pandas.Series.reindex,Conform Series to new index with optional filling logic.
129,Series,Reindexing / selection / label manipulation,pandas.Series.reindex_like,api/pandas.Series.reindex_like.html#pandas.Series.reindex_like,Return an object with matching indices as other object.
130,Series,Reindexing / selection / label manipulation,pandas.Series.rename,api/pandas.Series.rename.html#pandas.Series.rename,Alter Series index labels or name.
131,Series,Reindexing / selection / label manipulation,pandas.Series.rename_axis,api/pandas.Series.rename_axis.html#pandas.Series.rename_axis,Set the name of the axis for the index or columns.
132,Series,Reindexing / selection / label manipulation,pandas.Series.reset_index,api/pandas.Series.reset_index.html#pandas.Series.reset_index,Generate a new DataFrame or Series with the index reset.
133,Series,Reindexing / selection / label manipulation,pandas.Series.sample,api/pandas.Series.sample.html#pandas.Series.sample,Return a random sample of items from an axis of object.
134,Series,Reindexing / selection / label manipulation,pandas.Series.set_axis,api/pandas.Series.set_axis.html#pandas.Series.set_axis,Assign desired index to given axis.
135,Series,Reindexing / selection / label manipulation,pandas.Series.take,api/pandas.Series.take.html#pandas.Series.take,Return the elements in the given positional indices along an axis.
136,Series,Reindexing / selection / label manipulation,pandas.Series.tail,api/pandas.Series.tail.html#pandas.Series.tail,Return the last n rows.
137,Series,Reindexing / selection / label manipulation,pandas.Series.truncate,api/pandas.Series.truncate.html#pandas.Series.truncate,Truncate a Series or DataFrame before and after some index value.
138,Series,Reindexing / selection / label manipulation,pandas.Series.where,api/pandas.Series.where.html#pandas.Series.where,Replace values where the condition is False.
139,Series,Reindexing / selection / label manipulation,pandas.Series.mask,api/pandas.Series.mask.html#pandas.Series.mask,Replace values where the condition is True.
140,Series,Reindexing / selection / label manipulation,pandas.Series.add_prefix,api/pandas.Series.add_prefix.html#pandas.Series.add_prefix,Prefix labels with string prefix.
141,Series,Reindexing / selection / label manipulation,pandas.Series.add_suffix,api/pandas.Series.add_suffix.html#pandas.Series.add_suffix,Suffix labels with string suffix.
142,Series,Reindexing / selection / label manipulation,pandas.Series.filter,api/pandas.Series.filter.html#pandas.Series.filter,Subset the dataframe rows or columns according to the specified index labels.
144,Series,Missing data handling,pandas.Series.bfill,api/pandas.Series.bfill.html#pandas.Series.bfill,Fill NA/NaN values by using the next valid observation to fill the gap.
145,Series,Missing data handling,pandas.Series.dropna,api/pandas.Series.dropna.html#pandas.Series.dropna,Return a new Series with missing values removed.
146,Series,Missing data handling,pandas.Series.ffill,api/pandas.Series.ffill.html#pandas.Series.ffill,Fill NA/NaN values by propagating the last valid observation to next valid.
147,Series,Missing data handling,pandas.Series.fillna,api/pandas.Series.fillna.html#pandas.Series.fillna,Fill NA/NaN values using the specified method.
148,Series,Missing data handling,pandas.Series.interpolate,api/pandas.Series.interpolate.html#pandas.Series.interpolate,Fill NaN values using an interpolation method.
149,Series,Missing data handling,pandas.Series.isna,api/pandas.Series.isna.html#pandas.Series.isna,Detect missing values.
150,Series,Missing data handling,pandas.Series.isnull,api/pandas.Series.isnull.html#pandas.Series.isnull,Series.isnull is an alias for Series.isna.
151,Series,Missing data handling,pandas.Series.notna,api/pandas.Series.notna.html#pandas.Series.notna,Detect existing (non-missing) values.
152,Series,Missing data handling,pandas.Series.notnull,api/pandas.Series.notnull.html#pandas.Series.notnull,Series.notnull is an alias for Series.notna.
154,Series,Missing data handling,pandas.Series.replace,api/pandas.Series.replace.html#pandas.Series.replace,Replace values given in to_replace with value.
155,Series,"Reshaping, sorting",pandas.Series.argsort,api/pandas.Series.argsort.html#pandas.Series.argsort,Return the integer indices that would sort the Series values.
156,Series,"Reshaping, sorting",pandas.Series.argmin,api/pandas.Series.argmin.html#pandas.Series.argmin,Return int position of the smallest value in the Series.
157,Series,"Reshaping, sorting",pandas.Series.argmax,api/pandas.Series.argmax.html#pandas.Series.argmax,Return int position of the largest value in the Series.
158,Series,"Reshaping, sorting",pandas.Series.reorder_levels,api/pandas.Series.reorder_levels.html#pandas.Series.reorder_levels,Rearrange index levels using input order.
159,Series,"Reshaping, sorting",pandas.Series.sort_values,api/pandas.Series.sort_values.html#pandas.Series.sort_values,Sort by the values.
160,Series,"Reshaping, sorting",pandas.Series.sort_index,api/pandas.Series.sort_index.html#pandas.Series.sort_index,Sort Series by index labels.
161,Series,"Reshaping, sorting",pandas.Series.swaplevel,api/pandas.Series.swaplevel.html#pandas.Series.swaplevel,Swap levels i and j in a MultiIndex.
162,Series,"Reshaping, sorting",pandas.Series.unstack,api/pandas.Series.unstack.html#pandas.Series.unstack,"Unstack, also known as pivot, Series with MultiIndex to produce DataFrame."
163,Series,"Reshaping, sorting",pandas.Series.explode,api/pandas.Series.explode.html#pandas.Series.explode,Transform each element of a list-like to a row.
164,Series,"Reshaping, sorting",pandas.Series.searchsorted,api/pandas.Series.searchsorted.html#pandas.Series.searchsorted,Find indices where elements should be inserted to maintain order.
166,Series,"Reshaping, sorting",pandas.Series.repeat,api/pandas.Series.repeat.html#pandas.Series.repeat,Repeat elements of a Series.
167,Series,"Reshaping, sorting",pandas.Series.squeeze,api/pandas.Series.squeeze.html#pandas.Series.squeeze,Squeeze 1 dimensional axis objects into scalars.
169,Series,Combining / comparing / joining / merging,pandas.Series.compare,api/pandas.Series.compare.html#pandas.Series.compare,Compare to another Series and show the differences.
170,Series,Combining / comparing / joining / merging,pandas.Series.update,api/pandas.Series.update.html#pandas.Series.update,Modify Series in place using values from passed Series.
171,Series,Time Series-related,pandas.Series.asfreq,api/pandas.Series.asfreq.html#pandas.Series.asfreq,Convert time series to specified frequency.
172,Series,Time Series-related,pandas.Series.asof,api/pandas.Series.asof.html#pandas.Series.asof,Return the last row(s) without any NaNs before where.
173,Series,Time Series-related,pandas.Series.shift,api/pandas.Series.shift.html#pandas.Series.shift,Shift index by desired number of periods with an optional time freq.
174,Series,Time Series-related,pandas.Series.first_valid_index,api/pandas.Series.first_valid_index.html#pandas.Series.first_valid_index,"Return index for first non-NA value or None, if no non-NA value is found."
175,Series,Time Series-related,pandas.Series.last_valid_index,api/pandas.Series.last_valid_index.html#pandas.Series.last_valid_index,"Return index for last non-NA value or None, if no non-NA value is found."
176,Series,Time Series-related,pandas.Series.resample,api/pandas.Series.resample.html#pandas.Series.resample,Resample time-series data.
177,Series,Time Series-related,pandas.Series.tz_convert,api/pandas.Series.tz_convert.html#pandas.Series.tz_convert,Convert tz-aware axis to target time zone.
178,Series,Time Series-related,pandas.Series.tz_localize,api/pandas.Series.tz_localize.html#pandas.Series.tz_localize,Localize tz-naive index of a Series or DataFrame to target time zone.
179,Series,Time Series-related,pandas.Series.at_time,api/pandas.Series.at_time.html#pandas.Series.at_time,"Select values at particular time of day (e.g., 9:30AM)."
180,Series,Time Series-related,pandas.Series.between_time,api/pandas.Series.between_time.html#pandas.Series.between_time,"Select values between particular times of the day (e.g., 9:00-9:30 AM)."
181,Series,Accessors,pandas.Series.str,api/pandas.Series.str.html#pandas.Series.str,alias of StringMethods
182,Series,Accessors,pandas.Series.cat,api/pandas.Series.cat.html#pandas.Series.cat,alias of CategoricalAccessor
183,Series,Accessors,pandas.Series.dt,api/pandas.Series.dt.html#pandas.Series.dt,alias of CombinedDatetimelikeProperties
184,Series,Accessors,pandas.Series.sparse,api/pandas.Series.sparse.html#pandas.Series.sparse,alias of SparseAccessor
185,Series,Accessors,pandas.DataFrame.sparse,api/pandas.DataFrame.sparse.html#pandas.DataFrame.sparse,alias of SparseFrameAccessor
186,Series,Accessors,pandas.Index.str,api/pandas.Index.str.html#pandas.Index.str,alias of StringMethods
187,Series,Plotting,pandas.Series.plot,api/pandas.Series.plot.html#pandas.Series.plot,Series plotting accessor and method
188,Series,Plotting,pandas.Series.plot.area,api/pandas.Series.plot.area.html#pandas.Series.plot.area,Draw a stacked area plot.
189,Series,Plotting,pandas.Series.plot.bar,api/pandas.Series.plot.bar.html#pandas.Series.plot.bar,Vertical bar plot.
190,Series,Plotting,pandas.Series.plot.barh,api/pandas.Series.plot.barh.html#pandas.Series.plot.barh,Make a horizontal bar plot.
191,Series,Plotting,pandas.Series.plot.box,api/pandas.Series.plot.box.html#pandas.Series.plot.box,Make a box plot of the DataFrame columns.
192,Series,Plotting,pandas.Series.plot.density,api/pandas.Series.plot.density.html#pandas.Series.plot.density,Generate Kernel Density Estimate plot using Gaussian kernels.
193,Series,Plotting,pandas.Series.plot.hist,api/pandas.Series.plot.hist.html#pandas.Series.plot.hist,Draw one histogram of the DataFrame's columns.
194,Series,Plotting,pandas.Series.plot.kde,api/pandas.Series.plot.kde.html#pandas.Series.plot.kde,Generate Kernel Density Estimate plot using Gaussian kernels.
195,Series,Plotting,pandas.Series.plot.line,api/pandas.Series.plot.line.html#pandas.Series.plot.line,Plot Series or DataFrame as lines.
196,Series,Plotting,pandas.Series.plot.pie,api/pandas.Series.plot.pie.html#pandas.Series.plot.pie,Generate a pie plot.
197,Series,Plotting,pandas.Series.hist,api/pandas.Series.hist.html#pandas.Series.hist,Draw histogram of the input series using matplotlib.
198,Series,Serialization / IO / conversion,pandas.Series.to_pickle,api/pandas.Series.to_pickle.html#pandas.Series.to_pickle,Pickle (serialize) object to file.
199,Series,Serialization / IO / conversion,pandas.Series.to_csv,api/pandas.Series.to_csv.html#pandas.Series.to_csv,Write object to a comma-separated values (csv) file.
200,Series,Serialization / IO / conversion,pandas.Series.to_dict,api/pandas.Series.to_dict.html#pandas.Series.to_dict,Convert Series to {label -> value} dict or dict-like object.
201,Series,Serialization / IO / conversion,pandas.Series.to_excel,api/pandas.Series.to_excel.html#pandas.Series.to_excel,Write object to an Excel sheet.
202,Series,Serialization / IO / conversion,pandas.Series.to_frame,api/pandas.Series.to_frame.html#pandas.Series.to_frame,Convert Series to DataFrame.
203,Series,Serialization / IO / conversion,pandas.Series.to_xarray,api/pandas.Series.to_xarray.html#pandas.Series.to_xarray,Return an xarray object from the pandas object.
204,Series,Serialization / IO / conversion,pandas.Series.to_hdf,api/pandas.Series.to_hdf.html#pandas.Series.to_hdf,Write the contained data to an HDF5 file using HDFStore.
205,Series,Serialization / IO / conversion,pandas.Series.to_sql,api/pandas.Series.to_sql.html#pandas.Series.to_sql,Write records stored in a DataFrame to a SQL database.
206,Series,Serialization / IO / conversion,pandas.Series.to_json,api/pandas.Series.to_json.html#pandas.Series.to_json,Convert the object to a JSON string.
207,Series,Serialization / IO / conversion,pandas.Series.to_string,api/pandas.Series.to_string.html#pandas.Series.to_string,Render a string representation of the Series.
208,Series,Serialization / IO / conversion,pandas.Series.to_clipboard,api/pandas.Series.to_clipboard.html#pandas.Series.to_clipboard,Copy object to the system clipboard.
209,Series,Serialization / IO / conversion,pandas.Series.to_latex,api/pandas.Series.to_latex.html#pandas.Series.to_latex,"Render object to a LaTeX tabular, longtable, or nested table."
210,Series,Serialization / IO / conversion,pandas.Series.to_markdown,api/pandas.Series.to_markdown.html#pandas.Series.to_markdown,Print Series in Markdown-friendly format.
